sentence,label
tilt towards your left by 61 degree,"0,0,61"
tilt towards your left by 62 degree,"0,0,62"
tilt towards your left by 63 degree,"0,0,63"
tilt towards your left by 64 degree,"0,0,64"
tilt towards your left by 65 degree,"0,0,65"
tilt towards your left by 66 degree,"0,0,66"
tilt towards your left by 67 degree,"0,0,67"
tilt towards your left by 68 degree,"0,0,68"
tilt towards your left by 69 degree,"0,0,69"
tilt towards your left by 70 degree,"0,0,70"
tilt towards your left by 71 degree,"0,0,71"
tilt towards your left by 72 degree,"0,0,72"
tilt towards your left by 73 degree,"0,0,73"
tilt towards your left by 74 degree,"0,0,74"
tilt towards your left by 75 degree,"0,0,75"
tilt towards your left by 76 degree,"0,0,76"
tilt towards your left by 77 degree,"0,0,77"
tilt towards your left by 78 degree,"0,0,78"
tilt towards your left by 79 degree,"0,0,79"
tilt towards your left by 80 degree,"0,0,80"
tilt towards your left by 81 degree,"0,0,81"
tilt towards your left by 82 degree,"0,0,82"
tilt towards your left by 83 degree,"0,0,83"
tilt towards your left by 84 degree,"0,0,84"
tilt towards your left by 85 degree,"0,0,85"
tilt towards your left by 86 degree,"0,0,86"
tilt towards your left by 87 degree,"0,0,87"
tilt towards your left by 88 degree,"0,0,88"
tilt towards your left by 89 degree,"0,0,89"
tilt towards your left by 90 degree,"0,0,90"
tilt towards your left by 91 degree,"0,0,91"
tilt towards your left by 92 degree,"0,0,92"
tilt towards your left by 93 degree,"0,0,93"
tilt towards your left by 94 degree,"0,0,94"
tilt towards your left by 95 degree,"0,0,95"
tilt towards your left by 96 degree,"0,0,96"
tilt towards your left by 97 degree,"0,0,97"
tilt towards your left by 98 degree,"0,0,98"
tilt towards your left by 99 degree,"0,0,99"
tilt towards your left by 100 degree,"0,0,100"
tilt towards your left by 101 degree,"0,0,101"
tilt towards your left by 102 degree,"0,0,102"
tilt towards your left by 103 degree,"0,0,103"
tilt towards your left by 104 degree,"0,0,104"
tilt towards your left by 105 degree,"0,0,105"
tilt towards your left by 106 degree,"0,0,106"
tilt towards your left by 107 degree,"0,0,107"
tilt towards your left by 108 degree,"0,0,108"
tilt towards your left by 109 degree,"0,0,109"
tilt towards your left by 110 degree,"0,0,110"
tilt towards your left by 111 degree,"0,0,111"
tilt towards your left by 112 degree,"0,0,112"
tilt towards your left by 113 degree,"0,0,113"
tilt towards your left by 114 degree,"0,0,114"
tilt towards your left by 115 degree,"0,0,115"
tilt towards your left by 116 degree,"0,0,116"
tilt towards your left by 117 degree,"0,0,117"
tilt towards your left by 118 degree,"0,0,118"
tilt towards your left by 119 degree,"0,0,119"
tilt towards your left by 120 degree,"0,0,120"
tilt towards your left by 121 degree,"0,0,121"
tilt towards your left by 122 degree,"0,0,122"
tilt towards your left by 123 degree,"0,0,123"
tilt towards your left by 124 degree,"0,0,124"
tilt towards your left by 125 degree,"0,0,125"
tilt towards your left by 126 degree,"0,0,126"
tilt towards your left by 127 degree,"0,0,127"
tilt towards your left by 128 degree,"0,0,128"
tilt towards your left by 129 degree,"0,0,129"
tilt towards your left by 130 degree,"0,0,130"
tilt towards your left by 131 degree,"0,0,131"
tilt towards your left by 132 degree,"0,0,132"
tilt towards your left by 133 degree,"0,0,133"
tilt towards your left by 134 degree,"0,0,134"
tilt towards your left by 135 degree,"0,0,135"
tilt towards your left by 136 degree,"0,0,136"
tilt towards your left by 137 degree,"0,0,137"
tilt towards your left by 138 degree,"0,0,138"
tilt towards your left by 139 degree,"0,0,139"
tilt towards your left by 140 degree,"0,0,140"
tilt towards your left by 141 degree,"0,0,141"
tilt towards your left by 142 degree,"0,0,142"
tilt towards your left by 143 degree,"0,0,143"
tilt towards your left by 144 degree,"0,0,144"
tilt towards your left by 145 degree,"0,0,145"
tilt towards your left by 146 degree,"0,0,146"
tilt towards your left by 147 degree,"0,0,147"
tilt towards your left by 148 degree,"0,0,148"
tilt towards your left by 149 degree,"0,0,149"
tilt towards your left by 150 degree,"0,0,150"
tilt towards your left by 151 degree,"0,0,151"
tilt towards your left by 152 degree,"0,0,152"
tilt towards your left by 153 degree,"0,0,153"
tilt towards your left by 154 degree,"0,0,154"
tilt towards your left by 155 degree,"0,0,155"
tilt towards your left by 156 degree,"0,0,156"
tilt towards your left by 157 degree,"0,0,157"
tilt towards your left by 158 degree,"0,0,158"
tilt towards your left by 159 degree,"0,0,159"
tilt towards your left by 160 degree,"0,0,160"
tilt towards your left by 161 degree,"0,0,161"
tilt towards your left by 162 degree,"0,0,162"
tilt towards your left by 163 degree,"0,0,163"
tilt towards your left by 164 degree,"0,0,164"
tilt towards your left by 165 degree,"0,0,165"
tilt towards your left by 166 degree,"0,0,166"
tilt towards your left by 167 degree,"0,0,167"
tilt towards your left by 168 degree,"0,0,168"
tilt towards your left by 169 degree,"0,0,169"
tilt towards your left by 170 degree,"0,0,170"
tilt towards your left by 171 degree,"0,0,171"
tilt towards your left by 172 degree,"0,0,172"
tilt towards your left by 173 degree,"0,0,173"
tilt towards your left by 174 degree,"0,0,174"
tilt towards your left by 175 degree,"0,0,175"
tilt towards your left by 176 degree,"0,0,176"
tilt towards your left by 177 degree,"0,0,177"
tilt towards your left by 178 degree,"0,0,178"
tilt towards your left by 179 degree,"0,0,179"
tilt towards your left by 180 degree,"0,0,180"
tilt towards your left by 181 degree,"0,0,181"
tilt towards your left by 182 degree,"0,0,182"
tilt towards your left by 183 degree,"0,0,183"
tilt towards your left by 184 degree,"0,0,184"
tilt towards your left by 185 degree,"0,0,185"
tilt towards your left by 186 degree,"0,0,186"
tilt towards your left by 187 degree,"0,0,187"
tilt towards your left by 188 degree,"0,0,188"
tilt towards your left by 189 degree,"0,0,189"
tilt towards your left by 190 degree,"0,0,190"
tilt towards your left by 191 degree,"0,0,191"
tilt towards your left by 192 degree,"0,0,192"
tilt towards your left by 193 degree,"0,0,193"
tilt towards your left by 194 degree,"0,0,194"
tilt towards your left by 195 degree,"0,0,195"
tilt towards your left by 196 degree,"0,0,196"
tilt towards your left by 197 degree,"0,0,197"
tilt towards your left by 198 degree,"0,0,198"
tilt towards your left by 199 degree,"0,0,199"
tilt towards your left by 200 degree,"0,0,200"
tilt towards your left by 201 degree,"0,0,201"
tilt towards your left by 202 degree,"0,0,202"
tilt towards your left by 203 degree,"0,0,203"
tilt towards your left by 204 degree,"0,0,204"
tilt towards your left by 205 degree,"0,0,205"
tilt towards your left by 206 degree,"0,0,206"
tilt towards your left by 207 degree,"0,0,207"
tilt towards your left by 208 degree,"0,0,208"
tilt towards your left by 209 degree,"0,0,209"
tilt towards your left by 210 degree,"0,0,210"
tilt towards your left by 211 degree,"0,0,211"
tilt towards your left by 212 degree,"0,0,212"
tilt towards your left by 213 degree,"0,0,213"
tilt towards your left by 214 degree,"0,0,214"
tilt towards your left by 215 degree,"0,0,215"
tilt towards your left by 216 degree,"0,0,216"
tilt towards your left by 217 degree,"0,0,217"
tilt towards your left by 218 degree,"0,0,218"
tilt towards your left by 219 degree,"0,0,219"
tilt towards your left by 220 degree,"0,0,220"
tilt towards your left by 221 degree,"0,0,221"
tilt towards your left by 222 degree,"0,0,222"
tilt towards your left by 223 degree,"0,0,223"
tilt towards your left by 224 degree,"0,0,224"
tilt towards your left by 225 degree,"0,0,225"
tilt towards your left by 226 degree,"0,0,226"
tilt towards your left by 227 degree,"0,0,227"
tilt towards your left by 228 degree,"0,0,228"
tilt towards your left by 229 degree,"0,0,229"
tilt towards your left by 230 degree,"0,0,230"
tilt towards your left by 231 degree,"0,0,231"
tilt towards your left by 232 degree,"0,0,232"
tilt towards your left by 233 degree,"0,0,233"
tilt towards your left by 234 degree,"0,0,234"
tilt towards your left by 235 degree,"0,0,235"
tilt towards your left by 236 degree,"0,0,236"
tilt towards your left by 237 degree,"0,0,237"
tilt towards your left by 238 degree,"0,0,238"
tilt towards your left by 239 degree,"0,0,239"
tilt towards your left by 240 degree,"0,0,240"
tilt towards your left by 241 degree,"0,0,241"
tilt towards your left by 242 degree,"0,0,242"
tilt towards your left by 243 degree,"0,0,243"
tilt towards your left by 244 degree,"0,0,244"
tilt towards your left by 245 degree,"0,0,245"
tilt towards your left by 246 degree,"0,0,246"
tilt towards your left by 247 degree,"0,0,247"
tilt towards your left by 248 degree,"0,0,248"
tilt towards your left by 249 degree,"0,0,249"
tilt towards your left by 250 degree,"0,0,250"
tilt towards your left by 251 degree,"0,0,251"
tilt towards your left by 252 degree,"0,0,252"
tilt towards your left by 253 degree,"0,0,253"
tilt towards your left by 254 degree,"0,0,254"
tilt towards your left by 255 degree,"0,0,255"
tilt towards your left by 256 degree,"0,0,256"
tilt towards your left by 257 degree,"0,0,257"
tilt towards your left by 258 degree,"0,0,258"
tilt towards your left by 259 degree,"0,0,259"
tilt towards your left by 260 degree,"0,0,260"
tilt towards your left by 261 degree,"0,0,261"
tilt towards your left by 262 degree,"0,0,262"
tilt towards your left by 263 degree,"0,0,263"
tilt towards your left by 264 degree,"0,0,264"
tilt towards your left by 265 degree,"0,0,265"
tilt towards your left by 266 degree,"0,0,266"
tilt towards your left by 267 degree,"0,0,267"
tilt towards your left by 268 degree,"0,0,268"
tilt towards your left by 269 degree,"0,0,269"
tilt towards your left by 270 degree,"0,0,270"
tilt towards your left by 271 degree,"0,0,271"
tilt towards your left by 272 degree,"0,0,272"
tilt towards your left by 273 degree,"0,0,273"
tilt towards your left by 274 degree,"0,0,274"
tilt towards your left by 275 degree,"0,0,275"
tilt towards your left by 276 degree,"0,0,276"
tilt towards your left by 277 degree,"0,0,277"
tilt towards your left by 278 degree,"0,0,278"
tilt towards your left by 279 degree,"0,0,279"
tilt towards your left by 280 degree,"0,0,280"
tilt towards your left by 281 degree,"0,0,281"
tilt towards your left by 282 degree,"0,0,282"
tilt towards your left by 283 degree,"0,0,283"
tilt towards your left by 284 degree,"0,0,284"
tilt towards your left by 285 degree,"0,0,285"
tilt towards your left by 286 degree,"0,0,286"
tilt towards your left by 287 degree,"0,0,287"
tilt towards your left by 288 degree,"0,0,288"
tilt towards your left by 289 degree,"0,0,289"
tilt towards your left by 290 degree,"0,0,290"
tilt towards your left by 291 degree,"0,0,291"
tilt towards your left by 292 degree,"0,0,292"
tilt towards your left by 293 degree,"0,0,293"
tilt towards your left by 294 degree,"0,0,294"
tilt towards your left by 295 degree,"0,0,295"
tilt towards your left by 296 degree,"0,0,296"
tilt towards your left by 297 degree,"0,0,297"
tilt towards your left by 298 degree,"0,0,298"
tilt towards your left by 299 degree,"0,0,299"
tilt towards your left by 300 degree,"0,0,300"
tilt towards your left by 301 degree,"0,0,301"
tilt towards your left by 302 degree,"0,0,302"
tilt towards your left by 303 degree,"0,0,303"
tilt towards your left by 304 degree,"0,0,304"
tilt towards your left by 305 degree,"0,0,305"
tilt towards your left by 306 degree,"0,0,306"
tilt towards your left by 307 degree,"0,0,307"
tilt towards your left by 308 degree,"0,0,308"
tilt towards your left by 309 degree,"0,0,309"
tilt towards your left by 310 degree,"0,0,310"
tilt towards your left by 311 degree,"0,0,311"
tilt towards your left by 312 degree,"0,0,312"
tilt towards your left by 313 degree,"0,0,313"
tilt towards your left by 314 degree,"0,0,314"
tilt towards your left by 315 degree,"0,0,315"
tilt towards your left by 316 degree,"0,0,316"
tilt towards your left by 317 degree,"0,0,317"
tilt towards your left by 318 degree,"0,0,318"
tilt towards your left by 319 degree,"0,0,319"
tilt towards your left by 320 degree,"0,0,320"
tilt towards your left by 321 degree,"0,0,321"
tilt towards your left by 322 degree,"0,0,322"
tilt towards your left by 323 degree,"0,0,323"
tilt towards your left by 324 degree,"0,0,324"
tilt towards your left by 325 degree,"0,0,325"
tilt towards your left by 326 degree,"0,0,326"
tilt towards your left by 327 degree,"0,0,327"
tilt towards your left by 328 degree,"0,0,328"
tilt towards your left by 329 degree,"0,0,329"
tilt towards your left by 330 degree,"0,0,330"
tilt towards your left by 331 degree,"0,0,331"
tilt towards your left by 332 degree,"0,0,332"
tilt towards your left by 333 degree,"0,0,333"
tilt towards your left by 334 degree,"0,0,334"
tilt towards your left by 335 degree,"0,0,335"
tilt towards your left by 336 degree,"0,0,336"
tilt towards your left by 337 degree,"0,0,337"
tilt towards your left by 338 degree,"0,0,338"
tilt towards your left by 339 degree,"0,0,339"
tilt towards your left by 340 degree,"0,0,340"
tilt towards your left by 341 degree,"0,0,341"
tilt towards your left by 342 degree,"0,0,342"
tilt towards your left by 343 degree,"0,0,343"
tilt towards your left by 344 degree,"0,0,344"
tilt towards your left by 345 degree,"0,0,345"
tilt towards your left by 346 degree,"0,0,346"
tilt towards your left by 347 degree,"0,0,347"
tilt towards your left by 348 degree,"0,0,348"
tilt towards your left by 349 degree,"0,0,349"
tilt towards your left by 350 degree,"0,0,350"
tilt towards your left by 351 degree,"0,0,351"
tilt towards your left by 352 degree,"0,0,352"
tilt towards your left by 353 degree,"0,0,353"
tilt towards your left by 354 degree,"0,0,354"
tilt towards your left by 355 degree,"0,0,355"
tilt towards your left by 356 degree,"0,0,356"
tilt towards your left by 357 degree,"0,0,357"
tilt towards your left by 358 degree,"0,0,358"
tilt towards your left by 359 degree,"0,0,359"
tilt towards your left by 360 degree,"0,0,360"
tilt towards your right by 1 degree,"0,0,-1"
tilt towards your right by 2 degree,"0,0,-2"
tilt towards your right by 3 degree,"0,0,-3"
tilt towards your right by 4 degree,"0,0,-4"
tilt towards your right by 5 degree,"0,0,-5"
tilt towards your right by 6 degree,"0,0,-6"
tilt towards your right by 7 degree,"0,0,-7"
tilt towards your right by 8 degree,"0,0,-8"
tilt towards your right by 9 degree,"0,0,-9"
tilt towards your right by 10 degree,"0,0,-10"
tilt towards your right by 11 degree,"0,0,-11"
tilt towards your right by 12 degree,"0,0,-12"
tilt towards your right by 13 degree,"0,0,-13"
tilt towards your right by 14 degree,"0,0,-14"
tilt towards your right by 15 degree,"0,0,-15"
tilt towards your right by 16 degree,"0,0,-16"
tilt towards your right by 17 degree,"0,0,-17"
tilt towards your right by 18 degree,"0,0,-18"
tilt towards your right by 19 degree,"0,0,-19"
tilt towards your right by 20 degree,"0,0,-20"
tilt towards your right by 21 degree,"0,0,-21"
tilt towards your right by 22 degree,"0,0,-22"
tilt towards your right by 23 degree,"0,0,-23"
tilt towards your right by 24 degree,"0,0,-24"
tilt towards your right by 25 degree,"0,0,-25"
tilt towards your right by 26 degree,"0,0,-26"
tilt towards your right by 27 degree,"0,0,-27"
tilt towards your right by 28 degree,"0,0,-28"
tilt towards your right by 29 degree,"0,0,-29"
tilt towards your right by 30 degree,"0,0,-30"
tilt towards your right by 31 degree,"0,0,-31"
tilt towards your right by 32 degree,"0,0,-32"
tilt towards your right by 33 degree,"0,0,-33"
tilt towards your right by 34 degree,"0,0,-34"
tilt towards your right by 35 degree,"0,0,-35"
tilt towards your right by 36 degree,"0,0,-36"
tilt towards your right by 37 degree,"0,0,-37"
tilt towards your right by 38 degree,"0,0,-38"
tilt towards your right by 39 degree,"0,0,-39"
tilt towards your right by 40 degree,"0,0,-40"
tilt towards your right by 41 degree,"0,0,-41"
tilt towards your right by 42 degree,"0,0,-42"
tilt towards your right by 43 degree,"0,0,-43"
tilt towards your right by 44 degree,"0,0,-44"
tilt towards your right by 45 degree,"0,0,-45"
tilt towards your right by 46 degree,"0,0,-46"
tilt towards your right by 47 degree,"0,0,-47"
tilt towards your right by 48 degree,"0,0,-48"
tilt towards your right by 49 degree,"0,0,-49"
tilt towards your right by 50 degree,"0,0,-50"
tilt towards your right by 51 degree,"0,0,-51"
tilt towards your right by 52 degree,"0,0,-52"
tilt towards your right by 53 degree,"0,0,-53"
tilt towards your right by 54 degree,"0,0,-54"
tilt towards your right by 55 degree,"0,0,-55"
tilt towards your right by 56 degree,"0,0,-56"
tilt towards your right by 57 degree,"0,0,-57"
tilt towards your right by 58 degree,"0,0,-58"
tilt towards your right by 59 degree,"0,0,-59"
tilt towards your right by 60 degree,"0,0,-60"
tilt towards your right by 61 degree,"0,0,-61"
tilt towards your right by 62 degree,"0,0,-62"
tilt towards your right by 63 degree,"0,0,-63"
tilt towards your right by 64 degree,"0,0,-64"
tilt towards your right by 65 degree,"0,0,-65"
tilt towards your right by 66 degree,"0,0,-66"
tilt towards your right by 67 degree,"0,0,-67"
tilt towards your right by 68 degree,"0,0,-68"
tilt towards your right by 69 degree,"0,0,-69"
tilt towards your right by 70 degree,"0,0,-70"
tilt towards your right by 71 degree,"0,0,-71"
tilt towards your right by 72 degree,"0,0,-72"
tilt towards your right by 73 degree,"0,0,-73"
tilt towards your right by 74 degree,"0,0,-74"
tilt towards your right by 75 degree,"0,0,-75"
tilt towards your right by 76 degree,"0,0,-76"
tilt towards your right by 77 degree,"0,0,-77"
tilt towards your right by 78 degree,"0,0,-78"
tilt towards your right by 79 degree,"0,0,-79"
tilt towards your right by 80 degree,"0,0,-80"
tilt towards your right by 81 degree,"0,0,-81"
tilt towards your right by 82 degree,"0,0,-82"
tilt towards your right by 83 degree,"0,0,-83"
tilt towards your right by 84 degree,"0,0,-84"
tilt towards your right by 85 degree,"0,0,-85"
tilt towards your right by 86 degree,"0,0,-86"
tilt towards your right by 87 degree,"0,0,-87"
tilt towards your right by 88 degree,"0,0,-88"
tilt towards your right by 89 degree,"0,0,-89"
tilt towards your right by 90 degree,"0,0,-90"
tilt towards your right by 91 degree,"0,0,-91"
tilt towards your right by 92 degree,"0,0,-92"
tilt towards your right by 93 degree,"0,0,-93"
tilt towards your right by 94 degree,"0,0,-94"
tilt towards your right by 95 degree,"0,0,-95"
tilt towards your right by 96 degree,"0,0,-96"
tilt towards your right by 97 degree,"0,0,-97"
tilt towards your right by 98 degree,"0,0,-98"
tilt towards your right by 99 degree,"0,0,-99"
tilt towards your right by 100 degree,"0,0,-100"
tilt towards your right by 101 degree,"0,0,-101"
tilt towards your right by 102 degree,"0,0,-102"
tilt towards your right by 103 degree,"0,0,-103"
tilt towards your right by 104 degree,"0,0,-104"
tilt towards your right by 105 degree,"0,0,-105"
tilt towards your right by 106 degree,"0,0,-106"
tilt towards your right by 107 degree,"0,0,-107"
tilt towards your right by 108 degree,"0,0,-108"
tilt towards your right by 109 degree,"0,0,-109"
tilt towards your right by 110 degree,"0,0,-110"
tilt towards your right by 111 degree,"0,0,-111"
tilt towards your right by 112 degree,"0,0,-112"
tilt towards your right by 113 degree,"0,0,-113"
tilt towards your right by 114 degree,"0,0,-114"
tilt towards your right by 115 degree,"0,0,-115"
tilt towards your right by 116 degree,"0,0,-116"
tilt towards your right by 117 degree,"0,0,-117"
tilt towards your right by 118 degree,"0,0,-118"
tilt towards your right by 119 degree,"0,0,-119"
tilt towards your right by 120 degree,"0,0,-120"
tilt towards your right by 121 degree,"0,0,-121"
tilt towards your right by 122 degree,"0,0,-122"
tilt towards your right by 123 degree,"0,0,-123"
tilt towards your right by 124 degree,"0,0,-124"
tilt towards your right by 125 degree,"0,0,-125"
tilt towards your right by 126 degree,"0,0,-126"
tilt towards your right by 127 degree,"0,0,-127"
tilt towards your right by 128 degree,"0,0,-128"
tilt towards your right by 129 degree,"0,0,-129"
tilt towards your right by 130 degree,"0,0,-130"
tilt towards your right by 131 degree,"0,0,-131"
tilt towards your right by 132 degree,"0,0,-132"
tilt towards your right by 133 degree,"0,0,-133"
tilt towards your right by 134 degree,"0,0,-134"
tilt towards your right by 135 degree,"0,0,-135"
tilt towards your right by 136 degree,"0,0,-136"
tilt towards your right by 137 degree,"0,0,-137"
tilt towards your right by 138 degree,"0,0,-138"
tilt towards your right by 139 degree,"0,0,-139"
tilt towards your right by 140 degree,"0,0,-140"
tilt towards your right by 141 degree,"0,0,-141"
tilt towards your right by 142 degree,"0,0,-142"
tilt towards your right by 143 degree,"0,0,-143"
tilt towards your right by 144 degree,"0,0,-144"
tilt towards your right by 145 degree,"0,0,-145"
tilt towards your right by 146 degree,"0,0,-146"
tilt towards your right by 147 degree,"0,0,-147"
tilt towards your right by 148 degree,"0,0,-148"
tilt towards your right by 149 degree,"0,0,-149"
tilt towards your right by 150 degree,"0,0,-150"
tilt towards your right by 151 degree,"0,0,-151"
tilt towards your right by 152 degree,"0,0,-152"
tilt towards your right by 153 degree,"0,0,-153"
tilt towards your right by 154 degree,"0,0,-154"
tilt towards your right by 155 degree,"0,0,-155"
tilt towards your right by 156 degree,"0,0,-156"
tilt towards your right by 157 degree,"0,0,-157"
tilt towards your right by 158 degree,"0,0,-158"
tilt towards your right by 159 degree,"0,0,-159"
tilt towards your right by 160 degree,"0,0,-160"
tilt towards your right by 161 degree,"0,0,-161"
tilt towards your right by 162 degree,"0,0,-162"
tilt towards your right by 163 degree,"0,0,-163"
tilt towards your right by 164 degree,"0,0,-164"
tilt towards your right by 165 degree,"0,0,-165"
tilt towards your right by 166 degree,"0,0,-166"
tilt towards your right by 167 degree,"0,0,-167"
tilt towards your right by 168 degree,"0,0,-168"
tilt towards your right by 169 degree,"0,0,-169"
tilt towards your right by 170 degree,"0,0,-170"
tilt towards your right by 171 degree,"0,0,-171"
tilt towards your right by 172 degree,"0,0,-172"
tilt towards your right by 173 degree,"0,0,-173"
tilt towards your right by 174 degree,"0,0,-174"
tilt towards your right by 175 degree,"0,0,-175"
tilt towards your right by 176 degree,"0,0,-176"
tilt towards your right by 177 degree,"0,0,-177"
tilt towards your right by 178 degree,"0,0,-178"
tilt towards your right by 179 degree,"0,0,-179"
tilt towards your right by 180 degree,"0,0,-180"
tilt towards your right by 181 degree,"0,0,-181"
tilt towards your right by 182 degree,"0,0,-182"
tilt towards your right by 183 degree,"0,0,-183"
tilt towards your right by 184 degree,"0,0,-184"
tilt towards your right by 185 degree,"0,0,-185"
tilt towards your right by 186 degree,"0,0,-186"
tilt towards your right by 187 degree,"0,0,-187"
tilt towards your right by 188 degree,"0,0,-188"
tilt towards your right by 189 degree,"0,0,-189"
tilt towards your right by 190 degree,"0,0,-190"
tilt towards your right by 191 degree,"0,0,-191"
tilt towards your right by 192 degree,"0,0,-192"
tilt towards your right by 193 degree,"0,0,-193"
tilt towards your right by 194 degree,"0,0,-194"
tilt towards your right by 195 degree,"0,0,-195"
tilt towards your right by 196 degree,"0,0,-196"
tilt towards your right by 197 degree,"0,0,-197"
tilt towards your right by 198 degree,"0,0,-198"
tilt towards your right by 199 degree,"0,0,-199"
tilt towards your right by 200 degree,"0,0,-200"
tilt towards your right by 201 degree,"0,0,-201"
tilt towards your right by 202 degree,"0,0,-202"
tilt towards your right by 203 degree,"0,0,-203"
tilt towards your right by 204 degree,"0,0,-204"
tilt towards your right by 205 degree,"0,0,-205"
tilt towards your right by 206 degree,"0,0,-206"
tilt towards your right by 207 degree,"0,0,-207"
tilt towards your right by 208 degree,"0,0,-208"
tilt towards your right by 209 degree,"0,0,-209"
tilt towards your right by 210 degree,"0,0,-210"
tilt towards your right by 211 degree,"0,0,-211"
tilt towards your right by 212 degree,"0,0,-212"
tilt towards your right by 213 degree,"0,0,-213"
tilt towards your right by 214 degree,"0,0,-214"
tilt towards your right by 215 degree,"0,0,-215"
tilt towards your right by 216 degree,"0,0,-216"
tilt towards your right by 217 degree,"0,0,-217"
tilt towards your right by 218 degree,"0,0,-218"
tilt towards your right by 219 degree,"0,0,-219"
tilt towards your right by 220 degree,"0,0,-220"
tilt towards your right by 221 degree,"0,0,-221"
tilt towards your right by 222 degree,"0,0,-222"
tilt towards your right by 223 degree,"0,0,-223"
tilt towards your right by 224 degree,"0,0,-224"
tilt towards your right by 225 degree,"0,0,-225"
tilt towards your right by 226 degree,"0,0,-226"
tilt towards your right by 227 degree,"0,0,-227"
tilt towards your right by 228 degree,"0,0,-228"
tilt towards your right by 229 degree,"0,0,-229"
tilt towards your right by 230 degree,"0,0,-230"
tilt towards your right by 231 degree,"0,0,-231"
tilt towards your right by 232 degree,"0,0,-232"
tilt towards your right by 233 degree,"0,0,-233"
tilt towards your right by 234 degree,"0,0,-234"
tilt towards your right by 235 degree,"0,0,-235"
tilt towards your right by 236 degree,"0,0,-236"
tilt towards your right by 237 degree,"0,0,-237"
tilt towards your right by 238 degree,"0,0,-238"
tilt towards your right by 239 degree,"0,0,-239"
tilt towards your right by 240 degree,"0,0,-240"
tilt towards your right by 241 degree,"0,0,-241"
tilt towards your right by 242 degree,"0,0,-242"
tilt towards your right by 243 degree,"0,0,-243"
tilt towards your right by 244 degree,"0,0,-244"
tilt towards your right by 245 degree,"0,0,-245"
tilt towards your right by 246 degree,"0,0,-246"
tilt towards your right by 247 degree,"0,0,-247"
tilt towards your right by 248 degree,"0,0,-248"
tilt towards your right by 249 degree,"0,0,-249"
tilt towards your right by 250 degree,"0,0,-250"
tilt towards your right by 251 degree,"0,0,-251"
tilt towards your right by 252 degree,"0,0,-252"
tilt towards your right by 253 degree,"0,0,-253"
tilt towards your right by 254 degree,"0,0,-254"
tilt towards your right by 255 degree,"0,0,-255"
tilt towards your right by 256 degree,"0,0,-256"
tilt towards your right by 257 degree,"0,0,-257"
tilt towards your right by 258 degree,"0,0,-258"
tilt towards your right by 259 degree,"0,0,-259"
tilt towards your right by 260 degree,"0,0,-260"
tilt towards your right by 261 degree,"0,0,-261"
tilt towards your right by 262 degree,"0,0,-262"
tilt towards your right by 263 degree,"0,0,-263"
tilt towards your right by 264 degree,"0,0,-264"
tilt towards your right by 265 degree,"0,0,-265"
tilt towards your right by 266 degree,"0,0,-266"
tilt towards your right by 267 degree,"0,0,-267"
tilt towards your right by 268 degree,"0,0,-268"
tilt towards your right by 269 degree,"0,0,-269"
tilt towards your right by 270 degree,"0,0,-270"
tilt towards your right by 271 degree,"0,0,-271"
tilt towards your right by 272 degree,"0,0,-272"
tilt towards your right by 273 degree,"0,0,-273"
tilt towards your right by 274 degree,"0,0,-274"
tilt towards your right by 275 degree,"0,0,-275"
tilt towards your right by 276 degree,"0,0,-276"
tilt towards your right by 277 degree,"0,0,-277"
tilt towards your right by 278 degree,"0,0,-278"
tilt towards your right by 279 degree,"0,0,-279"
tilt towards your right by 280 degree,"0,0,-280"
tilt towards your right by 281 degree,"0,0,-281"
tilt towards your right by 282 degree,"0,0,-282"
tilt towards your right by 283 degree,"0,0,-283"
tilt towards your right by 284 degree,"0,0,-284"
tilt towards your right by 285 degree,"0,0,-285"
tilt towards your right by 286 degree,"0,0,-286"
tilt towards your right by 287 degree,"0,0,-287"
tilt towards your right by 288 degree,"0,0,-288"
tilt towards your right by 289 degree,"0,0,-289"
tilt towards your right by 290 degree,"0,0,-290"
tilt towards your right by 291 degree,"0,0,-291"
tilt towards your right by 292 degree,"0,0,-292"
tilt towards your right by 293 degree,"0,0,-293"
tilt towards your right by 294 degree,"0,0,-294"
tilt towards your right by 295 degree,"0,0,-295"
tilt towards your right by 296 degree,"0,0,-296"
tilt towards your right by 297 degree,"0,0,-297"
tilt towards your right by 298 degree,"0,0,-298"
tilt towards your right by 299 degree,"0,0,-299"
tilt towards your right by 300 degree,"0,0,-300"
tilt towards your right by 301 degree,"0,0,-301"
tilt towards your right by 302 degree,"0,0,-302"
tilt towards your right by 303 degree,"0,0,-303"
tilt towards your right by 304 degree,"0,0,-304"
tilt towards your right by 305 degree,"0,0,-305"
tilt towards your right by 306 degree,"0,0,-306"
tilt towards your right by 307 degree,"0,0,-307"
tilt towards your right by 308 degree,"0,0,-308"
tilt towards your right by 309 degree,"0,0,-309"
tilt towards your right by 310 degree,"0,0,-310"
tilt towards your right by 311 degree,"0,0,-311"
tilt towards your right by 312 degree,"0,0,-312"
tilt towards your right by 313 degree,"0,0,-313"
tilt towards your right by 314 degree,"0,0,-314"
tilt towards your right by 315 degree,"0,0,-315"
tilt towards your right by 316 degree,"0,0,-316"
tilt towards your right by 317 degree,"0,0,-317"
tilt towards your right by 318 degree,"0,0,-318"
tilt towards your right by 319 degree,"0,0,-319"
tilt towards your right by 320 degree,"0,0,-320"
tilt towards your right by 321 degree,"0,0,-321"
